,meaning
Age,Tuổi của nhân viên.
Attrition,Khả năng nhân viên đã rời khỏi tổ chức hay chưa.
BusinessTravel,Tần suất đi công tác của nhân viên.
DailyRate,Mức lương hàng ngày của nhân viên.
Department,Phòng ban mà nhân viên làm việc.
DistanceFromHome,Khoảng cách từ nhà đến nơi làm việc tính bằng dặm cho nhân viên.
Education,Trình độ học vấn đã đạt được của nhân viên.
EducationField,Lĩnh vực đào tạo của nhân viên.
EmployeeCount,Tổng số nhân viên trong tổ chức.
EmployeeNumber,Mã định danh duy nhất cho mỗi hồ sơ nhân viên.
EnvironmentSatisfaction,Sự hài lòng của nhân viên với môi trường làm việc của họ.
Gender,Giới tính của nhân viên.
HourlyRate,Mức lương hàng giờ của nhân viên.
JobInvolvement,Mức độ tham gia công việc của nhân viên.
JobLevel,Cấp độ công việc của nhân viên.
JobRole,Vai trò của nhân viên trong tổ chức.
JobSatisfaction,Sự hài lòng của nhân viên với công việc của họ.
MaritalStatus,Tình trạng hôn nhân của nhân viên.
MonthlyIncome,Thu nhập hàng tháng của nhân viên.
MonthlyRate,Mức lương hàng tháng của nhân viên.
NumCompaniesWorked,Số công ty mà nhân viên đã làm việc trước đó.
Over18,Khả năng nhân viên có đủ 18 tuổi hay không.
OverTime,Khả năng nhân viên có làm thêm giờ hay không.
PercentSalaryHike,Tỷ lệ tăng lương phần trăm cho nhân viên.
PerformanceRating,Đánh giá hiệu suất của nhân viên.
RelationshipSatisfaction,Sự hài lòng của nhân viên với các mối quan hệ của họ.
StandardHours,Giờ làm chuẩn của nhân viên.
StockOptionLevel,Mức độ tùy chọn cổ phiếu của nhân viên.
TotalWorkingYears,Tổng số năm nhân viên đã làm việc.
TrainingTimesLastYear,Số lần nhân viên được đào tạo trong năm qua.
WorkLifeBalance,Cảm nhận của nhân viên về sự cân bằng giữa công việc và cuộc sống của họ.
YearsAtCompany,Số năm nhân viên đã làm việc cho công ty.
YearsInCurrentRole,Số năm nhân viên đã đảm nhiệm vị trí hiện tại.
YearsSinceLastPromotion,Số năm kể từ khi nhân viên được thăng chức cuối cùng.
YearsWithCurrManager,Số năm nhân viên đã làm việc với quản lý hiện tại của họ.
